ada,title,amount,locations,why,from_whom,into_what,afm
92Χ746ΜΔΨΟ-ΒΩΧ,ΑΠΟΦΑΣΗ ΣΥΓΚΡΟΤΗΣΗΣ ΟΡΓΑΝΟΥ ΕΠΑΛΗΘΕΥΣΗΣ MIS 6001425 (Παροχή Υπηρεσιών Σίτισης στις ΚΕΔ Νήσων και ΚΥΤ Φυλακίου). ΚΕΔ Λοιπών Νήσων,,"ΚΥΤ Φυλακίου, Κλειστές Ελεγχόμενες Δομές Νήσων (ΚΕΔΝ), ΚΕΔ Κω, ΚΕΔ Λέρου, Αγ. Ι. Ρέντη","Διενέργεια επιτόπιας επαλήθευσης στην Πράξη «Παροχή υπηρεσιών Διαχείρισης Εγκαταστάσεων (Facilities Management)» για την επιβεβαίωση της υλοποίησης του φυσικού αντικειμένου, της ακρίβειας των πληροφοριών, της τήρησης κανόνων δημοσιότητας και του Χάρτη Θεμελιωδών Δικαιωμάτων.",Ειδική Υπηρεσία Συντονισμού & Διαχείρισης Προγραμμάτων Μετανάστευσης & Εσωτερικών Υποθέσεων (ΕΥΣΥΔ-ΜΕΥ) του Υπουργείου Μετανάστευσης & Ασύλου,Πράξη «Παροχή υπηρεσιών Διαχείρισης Εγκαταστάσεων (Facilities Management) στο ΚΥΤ Φυλακίου και στις Κλειστές Ελεγχόμενες Δομές Νήσων (ΚΕΔΝ)» και ειδικότερα στο Υποέργο 30 «Παροχή υπηρεσιών σίτισης στα ΚΕΔ Λοιπών Νήσων». Δικαιούχος: Υπηρεσία Υποδοχής και Ταυτοποίησης.,
ΨΑ4Κ46ΜΔΨΟ-31Ω,"Λύση σύμβασης εργασίας του Μπακλέ Γαβριήλ, υπαλλήλου Ιδιωτικού Δικαίου Ορισμένου Χρόνου της ΣΟΧ  01/2022 της Υπηρεσίας Ασύλου",,,,,,
ΡΚ2Ψ46ΜΔΨΟ-Χ25,"Λύση σύμβασης εργασίας της Χρυσικοπούλου Ιωάννας, υπαλλήλου Ιδιωτικού Δικαίου Ορισμένου Χρόνου της ΣΟΧ  1/2019 της Υπηρεσίας Ασύλου",,"Ερέτρια (Εύβοια), Αθήνα, Υμηττός, Κορινθία, Μαλανδρίνο, Περιφέρεια Θεσσαλίας","Λόγω αμετάκλητης δικαστικής απόφασης, συμπλήρωσης ορίου ηλικίας, θανάτου, οικειοθελούς παραίτησης, και διορισμού σε κενή οργανική θέση","Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού, Διεύθυνση Π.Ε. Α’ Αθήνας, Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Κορινθίας, Υπουργείο Προστασίας του Πολίτη, Υπουργείο Μετανάστευσης και Ασύλου, Κέντρο Κοινωνικής Πρόνοιας Περιφέρειας Θεσσαλίας","Διαπιστωτικές πράξεις λύσης υπαλληλικής σχέσης (έκπτωση, συνταξιοδότηση, θάνατος, παραίτηση) και διορισμός προσωπικού σε δημόσιους φορείς",
ΨΩΗΤ46ΜΔΨΟ-Ο2Τ,"Ανάληψη και Δέσμευση πίστωσης 2.939,30 € από τον Ε.Φ. 1055 101 , ΑΛΕ 3120489001 για την προμήθεια έξι (6)
καθισμάτων για την κάλυψη αναγκών του Υπουργείου Μετανάστευσης και Ασύλου","2.939,30 €",Υπουργείο Μετανάστευσης και Ασύλου,για την προμήθεια έξι (6) καθισμάτων για την κάλυψη αναγκών του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,προμήθεια έξι (6) καθισμάτων,
Ψ0ΓΙ46ΜΔΨΟ-ΓΡ2,"Αυτοδίκαιη λύση υπαλληλικής σχέσης μετακλητού υπαλλήλου στην Τεχνική Υπηρεσία του Υπουργείου Μετανάστευσης και Ασύλου, λόγω θανάτου.",,,,,,
6Μ7Ν46ΜΔΨΟ-4ΣΑ,"Ανάκληση ποσού 1.500,00 € από τον Ε.Φ. 1055 101 , ΑΛΕ 2420405001 για «την έκδοση Χρηματικού Εντάλματος
Προπληρωμής (Χ.Ε.Π.), για την κάλυψη εξόδων διανυκτέρευσης των Συνεργατών του Γενικού Γραμματέα Ευάλωτων Πολιτών
και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου, στο εσωτερικό και στο εξωτερικό, με ημερομηνία έως
30/09/2026","1.500,00 €",στο εσωτερικό και στο εξωτερικό,για την κάλυψη εξόδων διανυκτέρευσης των Συνεργατών του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,έκδοση Χρηματικού Εντάλματος Προπληρωμής (Χ.Ε.Π.) για έξοδα διανυκτέρευσης προσωπικού,
ΨΥ4Α46ΜΔΨΟ-Σ4Ρ,"Ανάκληση ποσού 2.500,00 € από τον Ε.Φ. 1055 101 , ΑΛΕ 2420404001 για «την έκδοση Χρηματικού Εντάλματος
Προπληρωμής (Χ.Ε.Π.), για την κάλυψη εξόδων κίνησης των Συνεργατών του Γενικού Γραμματέα Ευάλωτων Πολιτών και
Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου, στο εσωτερικό και στο εξωτερικό, με ημερομηνία έως
30/09/2026","2.500,00 €",στο εσωτερικό και στο εξωτερικό,για την κάλυψη εξόδων κίνησης των Συνεργατών του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,έκδοση Χρηματικού Εντάλματος Προπληρωμής (Χ.Ε.Π.) για την κάλυψη εξόδων κίνησης των Συνεργατών του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας,
6ΤΟΤ46ΜΔΨΟ-ΥΜΑ,"Ανάκληση ποσού 10.000,00 € από τον Ε.Φ. 1055 101 , ΑΛΕ 2420402001 για «την έκδοση Χρηματικού Εντάλματος
Προπληρωμής (Χ.Ε.Π.), για την κάλυψη εξόδων μετακίνησης του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής
Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου, στο εξωτερικό, με ημερομηνία έως 30/09/2026","10.000,00 €",στο εξωτερικό,για την κάλυψη εξόδων μετακίνησης του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,Έκδοση Χρηματικού Εντάλματος Προπληρωμής (Χ.Ε.Π.) για έξοδα μετακίνησης αιρετών και οργάνων διοίκησης στο εξωτερικό,
9ΘΥ446ΜΔΨΟ-ΩΝ3,"Ανάκληση ποσού 6.000,00 € από τον Ε.Φ. 1055 101 , ΑΛΕ 2420401001 για «την έκδοση Χρηματικού Εντάλματος
Προπληρωμής (Χ.Ε.Π.), για την κάλυψη εξόδων μετακίνησης του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής
Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου, στο εσωτερικό, με ημερομηνία έως 30/09/2026","6.000,00 €",στο εσωτερικό,Ανάκληση ποσού που προοριζόταν για την κάλυψη εξόδων μετακίνησης του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου.,Υπουργείο Μετανάστευσης και Ασύλου,Έξοδα μετακίνησης του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου,
ΨΟΞΚ46ΜΔΨΟ-Ε75,Ανανέωση/ Παράταση Μίσθωσης ακινήτου για τη στέγαση του Περιφερειακού Γραφείου Ασύλου (ΠΓΑ) Λέσβου.,"4.000,00 € μηνιαίως","Λέσβος, στην επαρχιακή οδό Μυτιλήνης -Καλλονής Ερεσσού, στη θέση «Κέντρο Παγανή» της κτηματικής περιφέρειας Αλυφαντών του Δήμου Μυτιλήνης",Ανανέωση/Παράταση μίσθωσης ακινήτου για τη στέγαση του Περιφερειακού Γραφείου Ασύλου Λέσβου,Υπουργείο Μετανάστευσης και Ασύλου (μέσω της Υπηρεσιακής Γραμματέως και της Γενικής Γραμματείας Μεταναστευτικής Πολιτικής),Συμβάσεις μίσθωσης κτιρίων για τη στέγαση του Περιφερειακού Γραφείου Ασύλου Λέσβου,"076452414 (Σοφία Μαριγλή), 175990664 (Βασιλική Παντελοπούλου)"
ΡΙΔΚ46ΜΔΨΟ-Σ99,"3η Τροποποίηση της Πράξης «Επιχορήγηση ΝΠ ΕΥΡΩΠΑΪΚΗ ΚΟΙΝΩΝΙΑ ΠΟΛΙΤΙΚΗ ΕΚΦΡΑΣΗ ΘΕΣΜΟΙ-Ε.Κ.Π.Ε.Θ.Ε. για 
την υλοποίηση του Έργου «Λειτουργία ΚΦΑΑ ΙΝΟΗ στην Αθήνα»» με Κωδικό ΟΠΣ 6016375 στο Πρόγραμμα «Πρόγραμμα Ελλάδας - Ταμείο Ασύλου, Μετανάστευσης και  Ένταξης 2021-2027»","1.591.131,00€","Αθήνα, στην περιοχή της Πετρούπολης","Για τη λειτουργία και παράταση του Κέντρου Φιλοξενίας Ασυνόδευτων Ανηλίκων (ΚΦΑΑ) ΙΝΟΗ, με στόχο την παροχή επαρκούς πλαισίου φιλοξενίας, προστασίας και υποστήριξης για ασυνόδευτους ανηλίκους, συμπεριλαμβανομένης καθημερινής φροντίδας, διαβίωσης, ενδυνάμωσης, κοινωνικής ένταξης και σταδιακής αυτονόμησης.","Υπουργείο Μετανάστευσης και Ασύλου, Γενική Γραμματεία Μεταναστευτικής Πολιτικής, Ειδική Υπηρεσία Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων (Ε.Υ.ΣΥ.Δ.-Μ.Ε.Υ.), συγχρηματοδοτούμενο από το Ταμείο Ασύλου, Μετανάστευσης και Ένταξης (ΤΑΜΕ)",Στο ΝΠ ΕΥΡΩΠΑΪΚΗ ΚΟΙΝΩΝΙΑ ΠΟΛΙΤΙΚΗ ΕΚΦΡΑΣΗ ΘΕΣΜΟΙ-Ε.Κ.Π.Ε.Θ.Ε. για την υλοποίηση του Έργου «Λειτουργία ΚΦΑΑ ΙΝΟΗ στην Αθήνα» (Κέντρο Φιλοξενίας Ασυνόδευτων Ανηλίκων ΙΝΟΗ),
Ψ6ΨΜ46ΜΔΨΟ-805,Απόφαση Έγκρισης Δαπάνης για την κάλυψη των δαπανών χρήσης υπηρεσιών κινητής τηλεφωνίας του Προϊσταμένου της Ειδικής Υπηρεσίας Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων.,"70,69€","Δεν αναφέρονται συγκεκριμένες περιοχές δράσης, καθώς πρόκειται για κάλυψη λειτουργικών δαπανών.",Κάλυψη δαπανών χρήσης υπηρεσιών κινητής τηλεφωνίας του Προϊσταμένου της ΕΥΣΥΔ ΜΕΥ για την εύρυθμη λειτουργία της.,Ειδική Υπηρεσία Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων (ΕΥΣΥΔ-ΜΕΥ) του Υπουργείου Μετανάστευσης & Ασύλου.,"Κάλυψη δαπανών χρήσης υπηρεσιών κινητής τηλεφωνίας του Προϊσταμένου της ΕΥΣΥΔ ΜΕΥ, στο πλαίσιο του υποέργου «Ανάπτυξη ικανοτήτων και Τεχνική Βοήθεια της ΕΥΣΥΔ-ΜΕΥ» της δράσης «Ενέργειες Τεχνικής Βοήθειας για την ΕΥΣΥΔ-MEY» (Πακέτο Εργασίας: Γενικά Έξοδα Λειτουργίας).",063855576
